taxonomy_slug,category_slug,sub_category_slug,tag,product_id
health-areas,immune-support,daily-immune,,3671
health-areas,immune-support,seasonal-support,,3675
health-areas,immune-support,mushroom-immune,,3677
health-areas,gut-health,digestive-bitters,,3922
health-areas,gut-health,probiotic-support,,4080
health-areas,stress-mood-anxiety,stress-anxiety-relief,,5755
health-areas,stress-mood-anxiety,adaptogenic-support,,5815
health-areas,energy-vitality,daily-energy-support,,7557
health-areas,cardiovascular-health,heart-rhythm,,3671
health-areas,cardiovascular-health,blood-pressure,,3675
health-areas,pain-inflammation,joint-arthritis,,3677
health-areas,bone-joint-musculoskeletal,bone-density,,3922
health-areas,skin-hair-nails,clear-skin,,4080
health-areas,mens-health,prostate-health,,5755
health-areas,womens-health,menopause-hot-flashes,,5815
health-areas,sleep-relaxation,sleep-quality-patterns,,7557
health-areas,focus-memory-cognition,memory-enhancement,,3671
health-areas,eye-vision,age-vision,,3675
health-areas,liver-detoxification,daily-liver,,3677
health-areas,respiratory-health,cough-throat,,3922
health-areas,kidney-urinary,uti-prevention,,4080
health-areas,allergy-histamine,seasonal-allergy,,5755
health-areas,blood-sugar-metabolism,blood-sugar-support,,5815
health-areas,healthy-aging,cellular-aging,,7557
health-areas,oral-health,gum-health,,3671
health-areas,immune-support,antiviral-herbs,,3922
health-areas,immune-support,childrens-immune,,4080
health-areas,gut-health,ibs-comfort,,5755
health-areas,gut-health,liver-gallbladder,,5815
health-areas,gut-health,appetite-nausea,,7557
health-areas,stress-mood-anxiety,mood-support,,3671
health-areas,sleep-relaxation,daytime-relaxation,,3675
health-areas,sleep-relaxation,childrens-sleep,,3677
health-areas,energy-vitality,athletic-performance,,3922
health-areas,energy-vitality,adrenal-burnout,,4080
health-areas,cardiovascular-health,circulation-vein,,5755
health-areas,cardiovascular-health,cholesterol-balance,,5815
health-areas,cardiovascular-health,heart-antioxidants,,7557
health-areas,pain-inflammation,muscle-pain,,3671
health-areas,pain-inflammation,headache-migraine,,3675
health-areas,pain-inflammation,nerve-pain,,3677
health-areas,focus-memory-cognition,focus-mental-performance,,3922
health-areas,focus-memory-cognition,age-cognitive,,4080
health-areas,skin-hair-nails,anti-aging,,5755
health-areas,skin-hair-nails,hair-growth,,5815
health-areas,skin-hair-nails,nail-health,,7557
health-areas,skin-hair-nails,eczema-conditions,,3671
health-areas,bone-joint-musculoskeletal,joint-flexibility,,3675
health-areas,bone-joint-musculoskeletal,muscle-recovery,,3677
health-areas,bone-joint-musculoskeletal,connective-tissue,,3922
health-areas,bone-joint-musculoskeletal,post-injury,,4080
health-areas,womens-health,pms-menstrual,,5755
health-areas,womens-health,fertility-conception,,5815
health-areas,womens-health,pregnancy-nursing,,7557
health-areas,womens-health,pcos-hormonal,,3671
health-areas,mens-health,testosterone-libido,,3675
health-areas,mens-health,male-fertility,,3677
health-areas,liver-detoxification,detox-cleanses,,3922
health-areas,liver-detoxification,alcohol-hangover,,4080
health-areas,liver-detoxification,heavy-metal,,5755
health-areas,liver-detoxification,lymphatic-drainage,,5815
health-areas,respiratory-health,sinus-congestion,,7557
health-areas,respiratory-health,asthma-breathing,,3671
health-areas,respiratory-health,lung-recovery,,3675
health-areas,kidney-urinary,kidney-stone,,3677
health-areas,kidney-urinary,bladder-health,,3922
health-areas,kidney-urinary,water-retention,,4080
health-areas,blood-sugar-metabolism,appetite-control,,5755
health-areas,blood-sugar-metabolism,metabolism-weight,,5815
health-areas,allergy-histamine,food-allergy,,7557
health-areas,allergy-histamine,histamine-intolerance,,3671
