taxonomy_slug,category_slug,sub_category_slug,tag,product_id
health-areas,immune-support,daily-immune,,3671
ingredients,turmeric,,natural-ingredient,3671
health-areas,immune-support,seasonal-support,,3675
ingredients,echinacea,,natural-ingredient,3675
health-areas,gut-health,digestive-bitters,,3677
ingredients,ginger,,natural-ingredient,3677
health-areas,stress-mood-anxiety,stress-anxiety-relief,,3922
ingredients,ashwagandha,,natural-ingredient,3922
health-areas,energy-vitality,daily-energy-support,,4080
ingredients,vitamin-d3,,isolated-compound,4080
health-areas,sleep-relaxation,sleep-support,,5755
ingredients,melatonin,,synthetic-compound,5755
health-areas,focus-memory-cognition,memory-cognitive-health,,5815
ingredients,lions-mane,,natural-ingredient,5815
health-areas,cardiovascular-health,heart-circulatory-health,,7557
ingredients,coq10,,isolated-compound,7557
