taxonomy_slug,category_slug,sub_category_slug,tag,product_id
health-areas,immune-support,daily-immune,,3671
ingredients,turmeric,,natural-ingredient,3671
health-areas,gut-health,digestive-bitters,,3675
ingredients,ginger,,natural-ingredient,3675
,,,,
ingredients,vitamin-c,,isolated-compound,3677
ingredients,zinc,,natural-ingredient,3922
ingredients,ibuprofen,,synthetic-compound,4080
,,,,
health-areas,sleep-relaxation,sleep-support,,5755
ingredients,valerian,,natural-ingredient,5755
health-areas,energy-vitality,daily-energy-support,,5815
ingredients,b-complex,,synthetic-compound,5815
