taxonomy_slug,category_slug,sub_category_slug,tag,product_id
ingredients,turmeric,,natural-ingredient,3671
ingredients,ginger,,natural-ingredient,3671
ingredients,ashwagandha,,natural-ingredient,3675
ingredients,reishi-mushroom,,natural-ingredient,3675
ingredients,echinacea,,natural-ingredient,3677
ingredients,elderberry,,natural-ingredient,3677
ingredients,rhodiola,,natural-ingredient,3922
ingredients,milk-thistle,,natural-ingredient,3922
ingredients,valerian,,natural-ingredient,5755
ingredients,chamomile,,natural-ingredient,5755
ingredients,ginseng,,natural-ingredient,5815
ingredients,holy-basil,,natural-ingredient,5815
ingredients,cordyceps,,natural-ingredient,7557
ingredients,bacopa,,natural-ingredient,7557
