taxonomy_slug,category_slug,sub_category_slug,tag,product_id
health-areas,immune-support,mushroom-immune,,1111
health-areas,respiratory-health,cough-congestion,,1113
health-areas,womens-health,,,1115
health-areas,mens-health,,,1117
health-areas,energy-vitality,,,1119
health-areas,immune-support,mushroom-immune,,1121
health-areas,liver-detoxification,,,3671
health-areas,liver-detoxification,,,3675
health-areas,stress-mood-anxiety,adaptogenic-support,,3677
health-areas,gut-health,digestive-bitters,,3678
health-areas,stress-mood-anxiety,adaptogenic-support,,3679
health-areas,stress-mood-anxiety,adaptogenic-support,,3680
health-areas,immune-support,,,3681
health-areas,immune-support,,,3683
health-areas,pain-inflammation,,,3685
health-areas,blood-sugar-metabolism,,,3922
health-areas,respiratory-health,,,4045
health-areas,skin-hair-nails,clear-skin,,4049
health-areas,eye-vision,,,4052
health-areas,eye-vision,general-eye-health,,4052
health-areas,immune-support,,,4054
health-areas,womens-health,pregnancy-lactation,,4056
health-areas,sleep-relaxation,sleep-support,,4060
health-areas,womens-health,,,4065
health-areas,stress-mood-anxiety,adaptogenic-support,,4076
health-areas,gut-health,digestive-support,,4080
health-areas,gut-health,digestive-support,,4083
health-areas,mens-health,prostate-health,,4089
health-areas,immune-support,,,4092
health-areas,immune-support,antiviral-herbs,,4097
health-areas,blood-sugar-metabolism,,,4108
health-areas,gut-health,digestive-support,,4110
health-areas,eye-vision,,,4112
health-areas,eye-vision,,,4121
health-areas,sleep-relaxation,,,4122
health-areas,sleep-relaxation,,,4124
health-areas,sleep-relaxation,,,4126
health-areas,focus-memory-cognition,cognitive-support,,4130
health-areas,focus-memory-cognition,brain-health,,4132
health-areas,blood-sugar-metabolism,,,4135
health-areas,immune-support,,,4137
health-areas,stress-mood-anxiety,stress-anxiety-relief,,4146
health-areas,immune-support,,,4148
health-areas,gut-health,digestive-support,,4175
health-areas,gut-health,digestive-bitters,,4177
health-areas,gut-health,digestive-support,,4179
health-areas,respiratory-health,,,4183
health-areas,immune-support,,,4185
health-areas,stress-mood-anxiety,adaptogenic-support,,4187
health-areas,mens-health,male-vitality,,4190
health-areas,liver-detoxification,,,4192
health-areas,cardiovascular-health,,,4205
health-areas,immune-support,,,4206
health-areas,stress-mood-anxiety,adaptogenic-support,,4207
health-areas,mens-health,prostate-health,,4210
health-areas,pain-inflammation,,,4212
health-areas,energy-vitality,adrenal-support,,4213
health-areas,gut-health,,,4214
